prompt,prompt_id,prefix,IO,connector,S1,action1,S2,action2,to,length,wrong_token,correct_token,S1_token,S2_token,IO_token,label,split,top_answer,top_answer_prob,correct_prob,wrong_prob
オフィスで美優と拓也が歩いていたとき、拓也は珍しい飲み物を見つけ、すぐに,190,1,5,7,8,10,15,17,24,25,拓,美,拓,拓,美,美,circuit,美,0.334,0.334,0.0058
家で蓮と大輔が帰り支度をしていた。大輔は車の飲み物を見つけ、,918,1,3,4,5,7,14,16,22,23,大,蓮,大,大,蓮,蓮,ablation,蓮,0.0264,0.0264,0.0248
病院で葵と拓也が歩いていたとき、拓也は珍しいバスケットボールを見つけ、すぐに,179,1,4,5,6,8,13,15,23,24,拓,葵,拓,拓,葵,葵,ablation,葵,0.7656,0.7656,0.0003
家で拓也と健太が練習していた。健太はスナックをキャッチすると、力強く,343,1,3,5,6,8,13,15,25,26,健,拓,健,健,拓,拓,ablation,投,0.1099,0.0001,0.0002
レストランで陽菜と翔太が買い物をしていた。翔太は素敵なスナックを購入し、,239,1,3,5,6,8,13,15,24,25,翔,陽,翔,翔,陽,陽,ablation,陽,0.2188,0.2188,0.0007
剛と大輔は庭で休憩していた。大輔は携帯の画面にあるコンピューターを表示し、,804,1,1,2,3,5,12,14,28,29,大,剛,大,大,剛,剛,eval,大,0.0762,0.0317,0.0762
家で直樹と愛が準備をしていた。愛は余分なネックレスを持っていたので、,773,1,3,5,6,7,12,13,23,24,愛,直,愛,愛,直,直,ablation,直,0.457,0.457,0.0147
家で葵と美優が本棚を見ていた。美優は面白そうなコンピューターを選び、,628,1,3,4,5,7,13,15,24,25,美,葵,美,美,葵,葵,eval,葵,0.3008,0.3008,0.0109
病院で美月と大輔が準備をしていた。大輔は余分なネックレスを持っていたので、,757,1,4,6,7,9,14,16,26,27,大,美,大,大,美,美,ablation,美,0.2383,0.2383,0.0566
駅で愛と健太が準備をしていた。健太は余分なネックレスを持っていたので、,781,1,4,5,6,8,13,15,25,26,健,愛,健,健,愛,愛,ablation,愛,0.2793,0.2793,0.0228
レストランで健太と大輔が話していた。大輔はスナックを取り出すと、,23,1,3,5,6,8,12,14,21,22,大,健,大,大,健,健,ablation,健,0.168,0.168,0.0166
さくらと亮は駅で休憩していた。亮は携帯の画面にある骨を表示し、,850,1,1,4,5,6,14,15,26,27,亮,さ,亮,亮,さ,さ,ablation,さ,0.7227,0.7227,0.0038
学校で彩と和也が買い物をしていた。和也は素敵な指輪を購入し、,240,1,3,4,5,7,12,14,22,23,和,彩,和,和,彩,彩,eval,彩,0.5938,0.5938,0.0062
直人と陽菜は病院の図書館にいた。陽菜は借りていたスナックを読み終え、,975,1,1,3,3,5,16,18,28,29,陽,直,陽,陽,直,直,ablation,直,0.4688,0.4688,0.0015
オフィスで達也と大輔が本棚を見ていた。大輔は面白そうなキスを選び、,617,1,5,7,8,10,16,18,25,26,大,達,大,大,達,達,ablation,達,0.1855,0.1855,0.05
店で達也と大輔が練習していた。大輔はバスケットボールをキャッチすると、力強く,291,1,3,5,6,8,13,15,25,26,大,達,大,大,達,達,circuit,投,0.1777,0.0,0.0021
美優と拓也は駅で休憩していた。拓也は携帯の画面にあるネックレスを表示し、,853,1,1,3,4,6,14,16,29,30,拓,美,拓,拓,美,美,ablation,美,0.5117,0.5117,0.0002
レストランで優花と哲也が買い物をしていた。哲也は素敵なスナックを購入し、,239,1,3,5,6,8,13,15,24,25,哲,優,哲,哲,優,優,circuit,優,0.6133,0.6133,0.0006
レストランで彩と和也が仕事をしていた。和也は新しいスナックを作成し、その内容を,455,1,3,4,5,7,11,13,24,25,和,彩,和,和,彩,彩,ablation,彩,0.332,0.332,0.0027
庭で和也と大輔が話していた。大輔は骨を取り出すと、,10,1,3,5,6,8,12,14,19,20,大,和,大,大,和,和,ablation,庭,0.1089,0.1021,0.0293
オフィスで結衣と健太が練習していた。健太はバスケットボールをキャッチすると、力強く,331,1,5,7,8,10,15,17,27,28,健,結,健,健,結,結,ablation,投,0.0898,0.0015,0.0016
店の隅で結衣と翔太が二人きりだった。翔太は衝撃的なバスケットボールを知り、こっそりと,507,1,5,7,8,10,16,18,34,35,翔,結,翔,翔,結,結,ablation,結,0.3574,0.3574,0.0513
剛と陽菜は学校の図書館にいた。陽菜は借りていたキスを読み終え、,961,1,1,2,3,5,15,17,26,27,陽,剛,陽,陽,剛,剛,ablation,今,0.017,0.009,0.009
葵と拓也はレストランで修理をしていた。拓也は近くにあったバスケットボールを掴み、,667,1,1,2,3,5,12,14,24,25,拓,葵,拓,拓,葵,葵,eval,葵,0.1455,0.1455,0.0003
駅で剛と結衣が練習していた。結衣はコンピューターをキャッチすると、力強く,348,1,4,5,6,8,13,15,26,27,結,剛,結,結,剛,剛,ablation,、,0.0284,0.0007,0.0017
亮と結衣がレストランで席に着いた。結衣は熱いネックレスを持ってきて、,381,1,1,2,3,5,13,15,23,24,結,亮,結,結,亮,亮,eval,亮,0.418,0.418,0.0013
家で里奈と美月が買い物をしていた。美月は素敵なネックレスを購入し、,269,1,3,5,6,8,13,15,24,25,美,里,美,美,里,里,ablation,里,0.2324,0.2324,0.0277
亮と大輔はオフィスで休憩していた。大輔は携帯の画面にあるバスケットボールを表示し、,835,1,1,2,3,5,14,16,29,30,大,亮,大,大,亮,亮,ablation,亮,0.1914,0.1914,0.0215
家で剛と大輔が歩いていたとき、大輔は珍しい飲み物を見つけ、すぐに,198,1,3,4,5,7,12,14,21,22,大,剛,大,大,剛,剛,ablation,飲,0.2871,0.0015,0.0266
家で結衣と陽菜が歩いていたとき、陽菜は珍しいネックレスを見つけ、すぐに,197,1,3,5,6,8,13,15,23,24,陽,結,陽,陽,結,結,ablation,結,0.6562,0.6562,0.0044
レストランで亮と大輔が歩いていたとき、大輔は珍しい骨を見つけ、すぐに,162,1,3,4,5,7,12,14,20,21,大,亮,大,大,亮,亮,ablation,亮,0.5977,0.5977,0.017
病院で剛と直樹が買い物をしていた。直樹は素敵な指輪を購入し、,248,1,4,5,6,8,13,15,23,24,直,剛,直,直,剛,剛,ablation,その,0.0623,0.0334,0.0074
学校で愛と陽菜が練習していた。陽菜はネックレスをキャッチすると、力強く,317,1,3,4,5,7,12,14,24,25,陽,愛,陽,陽,愛,愛,eval,振り,0.0425,0.0033,0.0009
庭で美優と翔太が練習していた。翔太はバスケットボールをキャッチすると、力強く,299,1,3,5,6,8,13,15,25,26,翔,美,翔,翔,美,美,ablation,投,0.0938,0.0039,0.0025
翼と達也が山で席に着いた。達也は熱い指輪を持ってきて、,424,1,1,2,3,5,13,15,22,23,達,翼,達,達,翼,翼,ablation,翼,0.4648,0.4648,0.0003
陽菜と大輔は病院で休憩していた。大輔は携帯の画面にあるネックレスを表示し、,829,1,1,3,4,6,14,16,29,30,大,陽,大,大,陽,陽,circuit,陽,0.3535,0.3535,0.0129
庭で直樹と哲也が本棚を見ていた。哲也は面白そうなコンピューターを選び、,588,1,3,5,6,8,14,16,25,26,哲,直,哲,哲,直,直,ablation,直,0.3574,0.3574,0.0001
駅の隅で結衣と陽菜が二人きりだった。陽菜は衝撃的なバスケットボールを知り、こっそりと,563,1,6,8,9,11,17,19,35,36,陽,結,陽,陽,結,結,ablation,結,0.3203,0.3203,0.0109
駅で優菜と翼が乾杯しようとしていた。翼は冷えた骨を開け、,1066,1,4,6,7,8,15,16,22,23,翼,優,翼,翼,優,優,ablation,優,0.0791,0.0791,0.0008
亮と大輔が学校で席に着いた。大輔は熱いコンピューターを持ってきて、,388,1,1,2,3,5,13,15,24,25,大,亮,大,大,亮,亮,ablation,亮,0.1113,0.1113,0.0052
庭の隅で達也と大輔が二人きりだった。大輔は衝撃的な骨を知り、こっそりと,514,1,5,7,8,10,16,18,32,33,大,達,大,大,達,達,ablation,達,0.2373,0.2373,0.0466
結衣と陽菜が学校で席に着いた。陽菜は熱いコンピューターを持ってきて、,388,1,1,3,4,6,14,16,25,26,陽,結,陽,陽,結,結,ablation,結,0.5625,0.5625,0.001
レストランで剛と和也が準備をしていた。和也は余分なスナックを持っていたので、,743,1,3,4,5,7,12,14,24,25,和,剛,和,和,剛,剛,ablation,和,0.0825,0.0105,0.0825
駅で美月と葵が準備をしていた。葵は余分なスナックを持っていたので、,783,1,4,6,7,8,13,14,24,25,葵,美,葵,葵,美,美,ablation,美,0.248,0.248,0.0062
愛と結衣は山で修理をしていた。結衣は近くにあったコンピューターを掴み、,716,1,1,2,3,5,12,14,25,26,結,愛,結,結,愛,愛,ablation,愛,0.6211,0.6211,0.0031
オフィスで陽菜と大輔が帰り支度をしていた。大輔は車のスナックを見つけ、,911,1,5,7,8,10,17,19,26,27,大,陽,大,大,陽,陽,ablation,オ,0.0977,0.0918,0.0217
山で直樹と愛が歩いていたとき、愛は珍しいコンピューターを見つけ、すぐに,212,1,3,5,6,7,12,13,22,23,愛,直,愛,愛,直,直,ablation,山,0.1738,0.082,0.0208
レストランで美月と葵が話していた。葵はバスケットボールを取り出すと、,19,1,3,5,6,7,11,12,19,20,葵,美,葵,葵,美,美,ablation,美,0.3125,0.3125,0.0007
家の隅で翼と健太が二人きりだった。健太は衝撃的なスナックを知り、こっそりと,559,1,4,5,6,8,14,16,32,33,健,翼,健,健,翼,翼,circuit,翼,0.1206,0.1206,0.0135
和也と葵がオフィスで席に着いた。葵は熱い指輪を持ってきて、,400,1,1,3,4,5,15,16,23,24,葵,和,葵,葵,和,和,ablation,和,0.2715,0.2715,0.001
家で剛と涼太が本棚を見ていた。涼太は面白そうなバスケットボールを選び、,627,1,3,4,5,7,13,15,23,24,涼,剛,涼,涼,剛,剛,ablation,家,0.085,0.0801,0.0042
家で拓也と結衣が乾杯しようとしていた。結衣は冷えたコンピューターを開け、,1060,1,3,5,6,8,15,17,26,27,結,拓,結,結,拓,拓,ablation,拓,0.0625,0.0625,0.0018
山で杏奈と哲也が歩いていたとき、哲也は珍しい飲み物を見つけ、すぐに,214,1,3,5,6,8,13,15,22,23,哲,杏,哲,哲,杏,杏,ablation,山,0.1201,0.0825,0.0077
学校でさくらと亮が帰り支度をしていた。亮は車のスナックを見つけ、,895,1,3,6,7,8,15,16,23,24,亮,さ,亮,亮,さ,さ,ablation,さ,0.2871,0.2871,0.0077
庭で美優と翔太が仕事をしていた。翔太は新しいスナックを作成し、その内容を,447,1,3,5,6,8,12,14,25,26,翔,美,翔,翔,美,美,ablation,美,0.4512,0.4512,0.0002
陽菜と大輔は庭にいた。大輔は落ちていたスナックを拾い、,87,1,1,3,4,6,11,13,22,23,大,陽,大,大,陽,陽,ablation,陽,0.4727,0.4727,0.006
美優と哲也はレストランにいた。哲也は落ちていたスナックを拾い、,95,1,1,3,4,6,11,13,22,23,哲,美,哲,哲,美,美,eval,美,0.4668,0.4668,0.0004
店で拓也と健太が仕事をしていた。健太は新しい指輪を作成し、その内容を,432,1,3,5,6,8,12,14,24,25,健,拓,健,健,拓,拓,ablation,店,0.1807,0.0403,0.0115
病院の隅で美咲と翔太が二人きりだった。翔太は衝撃的なバスケットボールを知り、こっそりと,539,1,6,9,10,12,18,20,36,37,翔,美,翔,翔,美,美,ablation,美,0.3984,0.3984,0.0371
オフィスで美優と陽菜が本棚を見ていた。陽菜は面白そうな指輪を選び、,616,1,5,7,8,10,16,18,25,26,陽,美,陽,陽,美,美,ablation,美,0.457,0.457,0.0074
家で葵と拓也が乾杯しようとしていた。拓也は冷えたコンピューターを開け、,1060,1,3,4,5,7,14,16,25,26,拓,葵,拓,拓,葵,葵,ablation,葵,0.0962,0.0962,0.0001
愛と結衣はオフィスで修理をしていた。結衣は近くにあったネックレスを掴み、,693,1,1,2,3,5,14,16,26,27,結,愛,結,結,愛,愛,ablation,愛,0.6055,0.6055,0.0034
和也と大輔は庭の図書館にいた。大輔は借りていたキスを読み終え、,945,1,1,3,4,6,16,18,27,28,大,和,大,大,和,和,ablation,和,0.1689,0.1689,0.0066
直樹と健太が庭で席に着いた。健太は熱い骨を持ってきて、,370,1,1,3,4,6,14,16,22,23,健,直,健,健,直,直,ablation,直,0.5469,0.5469,0.0016
家で亮と健太が本棚を見ていた。健太は面白そうなキスを選び、,625,1,3,4,5,7,13,15,22,23,健,亮,健,健,亮,亮,ablation,亮,0.4668,0.4668,0.0006
一輝と愛は庭で修理をしていた。愛は近くにあったネックレスを掴み、,661,1,1,3,4,5,12,13,23,24,愛,一,愛,愛,一,一,ablation,一,0.2969,0.2969,0.0062
山で直樹と翼が準備をしていた。翼は余分なキスを持っていたので、,785,1,3,5,6,7,12,13,22,23,翼,直,翼,翼,直,直,ablation,直,0.207,0.207,0.0085
病院でさくらと亮が仕事をしていた。亮は新しいキスを作成し、その内容を,465,1,4,7,8,9,13,14,24,25,亮,さ,亮,亮,さ,さ,ablation,さ,0.2734,0.2734,0.0021
レストランで七海と拓也が帰り支度をしていた。拓也は車のバスケットボールを見つけ、,883,1,3,5,6,8,15,17,24,25,拓,七,拓,拓,七,七,ablation,七,0.1338,0.1338,0.0011
学校で裕太と七海が準備をしていた。七海は余分な骨を持っていたので、,746,1,3,5,6,8,13,15,23,24,七,裕,七,七,裕,裕,circuit,裕,0.4238,0.4238,0.0057
達也と大輔はオフィスにいた。大輔は落ちていた骨を拾い、,114,1,1,3,4,6,13,15,22,23,大,達,大,大,達,達,ablation,達,0.416,0.416,0.0221
病院で優菜と和也が話していた。和也はバスケットボールを取り出すと、,35,1,4,6,7,9,13,15,22,23,和,優,和,和,優,優,ablation,優,0.3633,0.3633,0.0103
庭の隅で亮と美咲が二人きりだった。美咲は衝撃的な飲み物を知り、こっそりと,518,1,5,6,7,10,16,19,34,35,美,亮,美,美,亮,亮,ablation,亮,0.4551,0.4551,0.0078
家で葵と大輔が話していた。大輔は飲み物を取り出すと、,54,1,3,4,5,7,11,13,19,20,大,葵,大,大,葵,葵,ablation,葵,0.3379,0.3379,0.0102
店で七海と達也が帰り支度をしていた。達也は車の骨を見つけ、,866,1,3,5,6,8,15,17,22,23,達,七,達,達,七,七,ablation,店,0.1816,0.1709,0.0017
学校で優花と亮が帰り支度をしていた。亮は車のバスケットボールを見つけ、,891,1,3,5,6,7,14,15,22,23,亮,優,亮,亮,優,優,ablation,優,0.127,0.127,0.0026
駅で翼と美優が歩いていたとき、美優は珍しい指輪を見つけ、すぐに,200,1,4,5,6,8,13,15,22,23,美,翼,美,美,翼,翼,eval,翼,0.127,0.127,0.0933
オフィスで達也と哲也が帰り支度をしていた。哲也は車のネックレスを見つけ、,909,1,5,7,8,10,17,19,26,27,哲,達,哲,哲,達,達,ablation,達,0.0771,0.0771,0.003
裕太と花は学校で修理をしていた。花は近くにあったスナックを掴み、,679,1,1,3,4,5,12,13,23,24,花,裕,花,花,裕,裕,ablation,裕,0.8711,0.8711,0.0005
葵と健太は学校にいた。健太は落ちていたネックレスを拾い、,101,1,1,2,3,5,10,12,21,22,健,葵,健,健,葵,葵,ablation,葵,0.5352,0.5352,0.0006
駅で葵と一輝が仕事をしていた。一輝は新しい指輪を作成し、その内容を,488,1,4,5,6,8,12,14,24,25,一,葵,一,一,葵,葵,ablation,葵,0.1582,0.1582,0.0483
駅で涼太と和也が準備をしていた。和也は余分なスナックを持っていたので、,783,1,4,6,7,9,14,16,26,27,和,涼,和,和,涼,涼,circuit,涼,0.1357,0.1357,0.064
哲也と大輔は庭にいた。大輔は落ちていた飲み物を拾い、,86,1,1,3,4,6,11,13,21,22,大,哲,大,大,哲,哲,ablation,哲,0.7148,0.7148,0.0009
病院で葵と翔太が帰り支度をしていた。翔太は車の指輪を見つけ、,896,1,4,5,6,8,15,17,23,24,翔,葵,翔,翔,葵,葵,ablation,葵,0.3887,0.3887,0.0013
店で里奈と翼が帰り支度をしていた。翼は車のキスを見つけ、,865,1,3,5,6,7,14,15,21,22,翼,里,翼,翼,里,里,ablation,店,0.1875,0.0393,0.0064
オフィスで和也と大輔が本棚を見ていた。大輔は面白そうな指輪を選び、,616,1,5,7,8,10,16,18,25,26,大,和,大,大,和,和,eval,和,0.334,0.334,0.0214
レストランで優花と涼太が練習していた。涼太はスナックをキャッチすると、力強く,311,1,3,5,6,8,13,15,25,26,涼,優,涼,涼,優,優,ablation,ス,0.0569,0.006,0.0001
オフィスで和也と陽菜が歩いていたとき、陽菜は珍しい飲み物を見つけ、すぐに,190,1,5,7,8,10,15,17,24,25,陽,和,陽,陽,和,和,ablation,和,0.2002,0.2002,0.0093
駅で和也と七海が準備をしていた。七海は余分な骨を持っていたので、,778,1,4,6,7,9,14,16,24,25,七,和,七,七,和,和,ablation,和,0.1768,0.1768,0.012
和也と結衣は庭で休憩していた。結衣は携帯の画面にある飲み物を表示し、,806,1,1,3,4,6,13,15,27,28,結,和,結,結,和,和,ablation,和,0.3066,0.3066,0.0008
翼と結衣がオフィスで席に着いた。結衣は熱いキスを持ってきて、,401,1,1,2,3,5,15,17,24,25,結,翼,結,結,翼,翼,ablation,翼,0.5664,0.5664,0.002
駅で直樹と美月が準備をしていた。美月は余分なコンピューターを持っていたので、,780,1,4,6,7,9,14,16,27,28,美,直,美,美,直,直,ablation,直,0.3184,0.3184,0.0405
さくらと愛は家にいた。愛は落ちていた骨を拾い、,122,1,1,4,5,6,11,12,19,20,愛,さ,愛,愛,さ,さ,ablation,さ,0.6719,0.6719,0.0026
家の隅で亮と健太が二人きりだった。健太は衝撃的なコンピューターを知り、こっそりと,556,1,4,5,6,8,14,16,33,34,健,亮,健,健,亮,亮,ablation,亮,0.293,0.293,0.0014
駅で翼と達也が仕事をしていた。達也は新しいバスケットボールを作成し、その内容を,491,1,4,5,6,8,12,14,25,26,達,翼,達,達,翼,翼,eval,翼,0.2275,0.2275,0.0137
病院の隅で翼と七海が二人きりだった。七海は衝撃的なキスを知り、こっそりと,537,1,6,7,8,10,16,18,33,34,七,翼,七,七,翼,翼,ablation,翼,0.2852,0.2852,0.0043
病院で哲也と結衣が買い物をしていた。結衣は素敵なバスケットボールを購入し、,251,1,4,6,7,9,14,16,25,26,結,哲,結,結,哲,哲,ablation,哲,0.4551,0.4551,0.0137
庭で里奈と優花が本棚を見ていた。優花は面白そうなネックレスを選び、,589,1,3,5,6,8,14,16,24,25,優,里,優,優,里,里,ablation,庭,0.248,0.1602,0.0031
学校で和也と亮が本棚を見ていた。亮は面白そうなバスケットボールを選び、,603,1,3,5,6,7,13,14,22,23,亮,和,亮,亮,和,和,ablation,和,0.5,0.5,0.0009
愛と陽菜は駅で休憩していた。陽菜は携帯の画面にある骨を表示し、,850,1,1,2,3,5,13,15,26,27,陽,愛,陽,陽,愛,愛,ablation,愛,0.4766,0.4766,0.0127
レストランで剛と健太が帰り支度をしていた。健太は車の飲み物を見つけ、,886,1,3,4,5,7,14,16,22,23,健,剛,健,健,剛,剛,ablation,�,0.0221,0.0081,0.0023
病院の隅で達也と哲也が二人きりだった。哲也は衝撃的なキスを知り、こっそりと,537,1,6,8,9,11,17,19,34,35,哲,達,哲,哲,達,達,ablation,達,0.4082,0.4082,0.0031
葵と美優がオフィスで席に着いた。美優は熱いキスを持ってきて、,401,1,1,2,3,5,15,17,24,25,美,葵,美,美,葵,葵,ablation,葵,0.5352,0.5352,0.0049
病院で陸と健太が買い物をしていた。健太は素敵なネックレスを購入し、,253,1,4,5,6,8,13,15,24,25,健,陸,健,健,陸,陸,eval,陸,0.1895,0.1895,0.0045
家で七海と拓也が乾杯しようとしていた。拓也は冷えた指輪を開け、,1056,1,3,5,6,8,15,17,24,25,拓,七,拓,拓,七,七,ablation,七,0.103,0.103,0.0005
山でさくらと愛が本棚を見ていた。愛は面白そうな飲み物を選び、,646,1,3,6,7,8,14,15,22,23,愛,さ,愛,愛,さ,さ,circuit,山,0.4277,0.0742,0.0107
家で陽菜と翔太が買い物をしていた。翔太は素敵な骨を購入し、,266,1,3,5,6,8,13,15,22,23,翔,陽,翔,翔,陽,陽,ablation,家,0.4258,0.0894,0.0045
庭の隅で拓也と健太が二人きりだった。健太は衝撃的なコンピューターを知り、こっそりと,516,1,5,7,8,10,16,18,35,36,健,拓,健,健,拓,拓,ablation,拓,0.0703,0.0703,0.002
病院で優菜と剛が歩いていたとき、剛は珍しいスナックを見つけ、すぐに,183,1,4,6,7,8,13,14,22,23,剛,優,剛,剛,優,優,ablation,買,0.1167,0.0488,0.0004
学校で楓と拓也が帰り支度をしていた。拓也は車の指輪を見つけ、,888,1,3,5,6,8,15,17,23,24,拓,�,拓,拓,�,�,ablation,�,0.0723,0.0,0.0004
学校で直樹と哲也が仕事をしていた。哲也は新しい指輪を作成し、その内容を,456,1,3,5,6,8,12,14,24,25,哲,直,哲,哲,直,直,ablation,直,0.2539,0.2539,0.0021
七海と亮はオフィスで休憩していた。亮は携帯の画面にあるキスを表示し、,833,1,1,3,4,5,14,15,27,28,亮,七,亮,亮,七,七,ablation,七,0.5625,0.5625,0.0001
オフィスで結衣と翔太が乾杯しようとしていた。翔太は冷えた飲み物を開け、,1054,1,5,7,8,10,17,19,26,27,翔,結,翔,翔,結,結,ablation,結,0.3242,0.3242,0.001
涼太と健太は病院で休憩していた。健太は携帯の画面にあるバスケットボールを表示し、,827,1,1,3,4,6,14,16,29,30,健,涼,健,健,涼,涼,ablation,涼,0.9023,0.9023,0.0001
家で涼太と亮が準備をしていた。亮は余分な飲み物を持っていたので、,774,1,3,5,6,7,12,13,22,23,亮,涼,亮,亮,涼,涼,ablation,涼,0.1982,0.1982,0.0093
山で未来と愛が買い物をしていた。愛は素敵なネックレスを購入し、,285,1,3,4,5,6,11,12,21,22,愛,未来,愛,愛,未来,未来,ablation,未来,0.5352,0.5352,0.0052
さくらと愛は家にいた。愛は落ちていたネックレスを拾い、,125,1,1,4,5,6,11,12,21,22,愛,さ,愛,愛,さ,さ,ablation,さ,0.6016,0.6016,0.0034
結衣と陽菜が学校で席に着いた。陽菜は熱い骨を持ってきて、,386,1,1,3,4,6,14,16,22,23,陽,結,陽,陽,結,結,circuit,結,0.625,0.625,0.0013
学校で達也と陽菜が話していた。陽菜は飲み物を取り出すと、,30,1,3,5,6,8,12,14,20,21,陽,達,陽,陽,達,達,eval,達,0.1143,0.1143,0.0044
一輝と大輔は駅で修理をしていた。大輔は近くにあったコンピューターを掴み、,708,1,1,3,4,6,14,16,27,28,大,一,大,大,一,一,eval,一,0.3789,0.3789,0.0201
山で優菜と七海が歩いていたとき、七海は珍しい骨を見つけ、すぐに,210,1,3,5,6,8,13,15,21,22,七,優,七,七,優,優,ablation,優,0.3008,0.3008,0.0059
和也と結衣は駅にいた。結衣は落ちていたネックレスを拾い、,133,1,1,3,4,6,12,14,23,24,結,和,結,結,和,和,ablation,和,0.5312,0.5312,0.0005
楓と美優は学校で修理をしていた。美優は近くにあった飲み物を掴み、,678,1,1,3,4,6,13,15,24,25,美,�,美,美,�,�,circuit,�,0.4336,0.0,0.0168
翼と健太が家で席に着いた。健太は熱いネックレスを持ってきて、,413,1,1,2,3,5,13,15,23,24,健,翼,健,健,翼,翼,eval,翼,0.4785,0.4785,0.0007
山の隅で葵と翔太が二人きりだった。翔太は衝撃的なスナックを知り、こっそりと,575,1,5,6,7,9,15,17,33,34,翔,葵,翔,翔,葵,葵,ablation,葵,0.2217,0.2217,0.0041
美月と結衣はオフィスの図書館にいた。結衣は借りていた飲み物を読み終え、,982,1,1,3,4,6,18,20,29,30,結,美,結,結,美,美,ablation,美,0.4199,0.4199,0.0044
山で楓と美月が話していた。美月は飲み物を取り出すと、,70,1,3,5,6,8,12,14,20,21,美,�,美,美,�,�,eval,山,0.373,0.0,0.0571
美月と亮は学校にいた。亮は落ちていた指輪を拾い、,96,1,1,3,4,5,10,11,19,20,亮,美,亮,亮,美,美,ablation,美,0.5391,0.5391,0.0015
店で亮と翔太が練習していた。翔太はネックレスをキャッチすると、力強く,293,1,3,4,5,7,12,14,24,25,翔,亮,翔,翔,亮,亮,ablation,ネ,0.0476,0.0128,0.0009
山で七海と陽菜が帰り支度をしていた。陽菜は車のキスを見つけ、,929,1,3,5,6,8,15,17,23,24,陽,七,陽,陽,七,七,ablation,山,0.1592,0.0962,0.0048
店で達也と拓也が本棚を見ていた。拓也は面白そうな飲み物を選び、,582,1,3,5,6,8,14,16,23,24,拓,達,拓,拓,達,達,ablation,店,0.375,0.1562,0.0025
病院で亮と結衣が歩いていたとき、結衣は珍しい骨を見つけ、すぐに,178,1,4,5,6,8,13,15,21,22,結,亮,結,結,亮,亮,circuit,亮,0.7891,0.7891,0.0113
直樹と哲也は家の図書館にいた。哲也は借りていたバスケットボールを読み終え、,987,1,1,3,4,6,15,17,27,28,哲,直,哲,哲,直,直,ablation,直,0.3789,0.3789,0.0061
レストランで葵と健太が仕事をしていた。健太は新しいバスケットボールを作成し、その内容を,451,1,3,4,5,7,11,13,24,25,健,葵,健,健,葵,葵,eval,葵,0.208,0.208,0.0018
山の隅で愛と拓也が二人きりだった。拓也は衝撃的な指輪を知り、こっそりと,568,1,5,6,7,9,15,17,32,33,拓,愛,拓,拓,愛,愛,ablation,山,0.2734,0.0947,0.0073
杏奈と陸が山で席に着いた。陸は熱い骨を持ってきて、,426,1,1,3,4,5,13,14,20,21,陸,杏,陸,陸,杏,杏,ablation,杏,0.4355,0.4355,0.0016
拓也と健太が店で席に着いた。健太は熱い骨を持ってきて、,362,1,1,3,4,6,14,16,22,23,健,拓,健,健,拓,拓,ablation,拓,0.5977,0.5977,0.0036
山で亮と陽菜が仕事をしていた。陽菜は新しい指輪を作成し、その内容を,496,1,3,4,5,7,11,13,23,24,陽,亮,陽,陽,亮,亮,ablation,山,0.166,0.1216,0.0128
家で亮と健太が買い物をしていた。健太は素敵なスナックを購入し、,271,1,3,4,5,7,12,14,23,24,健,亮,健,健,亮,亮,ablation,亮,0.3984,0.3984,0.0011
愛と結衣は店にいた。結衣は落ちていたバスケットボールを拾い、,75,1,1,2,3,5,10,12,21,22,結,愛,結,結,愛,愛,ablation,愛,0.6367,0.6367,0.0018
家の隅で誠と裕太が二人きりだった。裕太は衝撃的なスナックを知り、こっそりと,559,1,4,5,6,8,14,16,32,33,裕,誠,裕,裕,誠,誠,ablation,誠,0.2109,0.2109,0.0469
オフィスで亮と結衣が乾杯しようとしていた。結衣は冷えたスナックを開け、,1055,1,5,6,7,9,16,18,26,27,結,亮,結,結,亮,亮,eval,亮,0.3125,0.3125,0.0005
さくらと亮は駅で修理をしていた。亮は近くにあったバスケットボールを掴み、,707,1,1,4,5,6,14,15,25,26,亮,さ,亮,亮,さ,さ,circuit,さ,0.4941,0.4941,0.0016
哲也と陽菜は庭で休憩していた。陽菜は携帯の画面にあるコンピューターを表示し、,804,1,1,3,4,6,13,15,29,30,陽,哲,陽,陽,哲,哲,ablation,哲,0.4883,0.4883,0.0051
オフィスの隅で美月と一輝が二人きりだった。一輝は衝撃的なコンピューターを知り、こっそりと,548,1,7,9,10,12,18,20,37,38,一,美,一,一,美,美,ablation,美,0.2852,0.2852,0.0496
学校で優菜と直樹が買い物をしていた。直樹は素敵な飲み物を購入し、,246,1,3,5,6,8,13,15,23,24,直,優,直,直,優,優,eval,優,0.6406,0.6406,0.0219
庭で亮と陽菜が歩いていたとき、陽菜は珍しい飲み物を見つけ、すぐに,158,1,3,4,5,7,12,14,21,22,陽,亮,陽,陽,亮,亮,circuit,亮,0.3164,0.3164,0.0108
レストランで翼と健太が歩いていたとき、健太は珍しい指輪を見つけ、すぐに,160,1,3,4,5,7,12,14,21,22,健,翼,健,健,翼,翼,ablation,翼,0.2461,0.2461,0.0139
剛と涼太がレストランで席に着いた。涼太は熱い骨を持ってきて、,378,1,1,2,3,5,13,15,21,22,涼,剛,涼,涼,剛,剛,ablation,二人,0.0347,0.0238,0.0254
彩と美咲は店で修理をしていた。美咲は近くにあったキスを掴み、,649,1,1,2,3,6,13,16,25,26,美,彩,美,美,彩,彩,ablation,彩,0.459,0.459,0.013
