prompt,prompt_id,prefix,IO,connector,S1,action1,S2,action2,length,wrong_token,correct_token,S1_token,S2_token,IO_token,label,split,top_answer,top_answer_prob,correct_prob,wrong_prob
レストランで愛と翔太が乾杯しようとしていた。翔太は冷えた飲み物を開け、,1030,1,3,4,5,7,14,16,24,翔,愛,翔,翔,愛,愛,ablation,愛,0.104,0.104,0.003
オフィスで楓と翔太が本棚を見ていた。翔太は面白そうな飲み物を選び、,622,1,5,7,8,10,16,18,26,翔,�,翔,翔,�,�,ablation,�,0.1494,0.0,0.0051
家で亮と健太が帰り支度をしていた。健太は車のコンピューターを見つけ、,916,1,3,4,5,7,14,16,25,健,亮,健,健,亮,亮,ablation,亮,0.0952,0.0952,0.0015
美優と健太が学校で席に着いた。健太は熱いスナックを持ってきて、,391,1,1,3,4,6,14,16,25,健,美,健,健,美,美,ablation,美,0.5273,0.5273,0.0005
学校で葵と七海が買い物をしていた。七海は素敵なキスを購入し、,241,1,3,4,5,7,12,14,23,七,葵,七,七,葵,葵,circuit,葵,0.7109,0.7109,0.0042
病院で結衣と陽菜が準備をしていた。陽菜は余分なバスケットボールを持っていたので、,755,1,4,6,7,9,14,16,27,陽,結,陽,陽,結,結,circuit,結,0.4355,0.4355,0.0085
達也と翔太は病院にいた。翔太は落ちていたバスケットボールを拾い、,107,1,1,3,4,6,12,14,24,翔,達,翔,翔,達,達,ablation,達,0.4395,0.4395,0.0071
病院で哲也と大輔が買い物をしていた。大輔は素敵な飲み物を購入し、,254,1,4,6,7,9,14,16,25,大,哲,大,大,哲,哲,ablation,哲,0.5391,0.5391,0.0087
駅で七海と亮が仕事をしていた。亮は新しいキスを作成し、その内容を,489,1,4,6,7,8,12,13,24,亮,七,亮,亮,七,七,ablation,七,0.3906,0.3906,0.001
翼と哲也は庭で修理をしていた。哲也は近くにあったバスケットボールを掴み、,659,1,1,2,3,5,12,14,25,哲,翼,哲,哲,翼,翼,circuit,翼,0.2969,0.2969,0.0007
七海と亮はオフィスにいた。亮は落ちていた骨を拾い、,114,1,1,3,4,5,12,13,21,亮,七,亮,亮,七,七,ablation,七,0.4316,0.4316,0.0
オフィスで亮と大輔が乾杯しようとしていた。大輔は冷えたコンピューターを開け、,1052,1,5,6,7,9,16,18,28,大,亮,大,大,亮,亮,ablation,亮,0.0913,0.0913,0.0085
山で直人と拓也が帰り支度をしていた。拓也は車のコンピューターを見つけ、,932,1,3,5,5,7,14,16,25,拓,直,拓,拓,直,直,eval,直,0.3008,0.3008,0.0003
愛と結衣は駅で休憩していた。結衣は携帯の画面にあるキスを表示し、,849,1,1,2,3,5,13,15,28,結,愛,結,結,愛,愛,ablation,愛,0.668,0.668,0.0084
葵と拓也は病院にいた。拓也は落ちていたコンピューターを拾い、,108,1,1,2,3,5,11,13,24,拓,葵,拓,拓,葵,葵,ablation,葵,0.1641,0.1641,0.0002
オフィスで楓と一輝が歩いていたとき、一輝は珍しいネックレスを見つけ、すぐに,189,1,5,7,8,10,15,17,26,一,�,一,一,�,�,ablation,�,0.0879,0.0,0.0223
駅で達也と亮が歩いていたとき、亮は珍しいスナックを見つけ、すぐに,207,1,4,6,7,8,13,14,23,亮,達,亮,亮,達,達,ablation,達,0.2461,0.2461,0.007
レストランで涼太と拓也が歩いていたとき、拓也は珍しいスナックを見つけ、すぐに,167,1,3,5,6,8,13,15,24,拓,涼,拓,拓,涼,涼,ablation,涼,0.1172,0.1172,0.0007
学校で直樹と哲也が話していた。哲也はネックレスを取り出すと、,29,1,3,5,6,8,12,14,22,哲,直,哲,哲,直,直,ablation,直,0.2832,0.2832,0.0006
店で葵と達也が練習していた。達也は飲み物をキャッチすると、力強く,294,1,3,4,5,7,12,14,24,達,葵,達,達,葵,葵,ablation,投,0.1572,0.0014,0.0001
美咲と翔太は店で休憩していた。翔太は携帯の画面にあるコンピューターを表示し、,796,1,1,4,5,7,14,16,31,翔,美,翔,翔,美,美,ablation,美,0.459,0.459,0.007
学校で智也と葵が帰り支度をしていた。葵は車のネックレスを見つけ、,893,1,3,5,6,7,14,15,23,葵,智,葵,葵,智,智,circuit,智,0.0854,0.0854,0.0019
レストランで愛と健太が仕事をしていた。健太は新しいキスを作成し、その内容を,449,1,3,4,5,7,11,13,24,健,愛,健,健,愛,愛,ablation,愛,0.332,0.332,0.0074
哲也と大輔が店で席に着いた。大輔は熱いネックレスを持ってきて、,365,1,1,3,4,6,14,16,25,大,哲,大,大,哲,哲,eval,哲,0.6133,0.6133,0.0012
葵と翔太が庭で席に着いた。翔太は熱いキスを持ってきて、,369,1,1,2,3,5,13,15,23,翔,葵,翔,翔,葵,葵,ablation,葵,0.5625,0.5625,0.0005
レストランで七海と亮が本棚を見ていた。亮は面白そうなスナックを選び、,599,1,3,5,6,7,13,14,23,亮,七,亮,亮,七,七,ablation,七,0.4043,0.4043,0.0006
剛と達也がオフィスで席に着いた。達也は熱い指輪を持ってきて、,400,1,1,2,3,5,15,17,25,達,剛,達,達,剛,剛,ablation,彼,0.0233,0.0086,0.0104
山で剛と陽菜が買い物をしていた。陽菜は素敵な骨を購入し、,282,1,3,4,5,7,12,14,22,陽,剛,陽,陽,剛,剛,ablation,山,0.2676,0.0986,0.0076
家で健太と翔太が話していた。翔太はコンピューターを取り出すと、,52,1,3,5,6,8,12,14,23,翔,健,翔,翔,健,健,ablation,健,0.1152,0.1152,0.0035
庭で彩と翼が仕事をしていた。翼は新しいキスを作成し、その内容を,441,1,3,4,5,6,10,11,22,翼,彩,翼,翼,彩,彩,ablation,彩,0.3594,0.3594,0.0002
山で亮と結衣が乾杯しようとしていた。結衣は冷えたバスケットボールを開け、,1075,1,3,4,5,7,14,16,25,結,亮,結,結,亮,亮,ablation,山,0.1367,0.1064,0.0007
オフィスで剛と一輝が歩いていたとき、一輝は珍しいキスを見つけ、すぐに,185,1,5,6,7,9,14,16,24,一,剛,一,一,剛,剛,ablation,その,0.0471,0.0127,0.0184
家で七海と哲也が仕事をしていた。哲也は新しい指輪を作成し、その内容を,480,1,3,5,6,8,12,14,25,哲,七,哲,哲,七,七,eval,七,0.3066,0.3066,0.0049
病院で葵と一輝が歩いていたとき、一輝は珍しいバスケットボールを見つけ、すぐに,179,1,4,5,6,8,13,15,24,一,葵,一,一,葵,葵,ablation,葵,0.6992,0.6992,0.0113
レストランで哲也と拓也が仕事をしていた。拓也は新しいネックレスを作成し、その内容を,453,1,3,5,6,8,12,14,26,拓,哲,拓,拓,哲,哲,ablation,レストラン,0.1133,0.0253,0.0041
剛と哲也は家の図書館にいた。哲也は借りていたコンピューターを読み終え、,988,1,1,2,3,5,14,16,28,哲,剛,哲,哲,剛,剛,ablation,家,0.0291,0.0137,0.0137
店の隅で優花と葵が二人きりだった。葵は衝撃的なネックレスを知り、こっそりと,509,1,5,7,8,9,15,16,33,葵,優,葵,葵,優,優,eval,優,0.3438,0.3438,0.0014
楓と哲也は庭にいた。哲也は落ちていたネックレスを拾い、,85,1,1,3,4,6,11,13,23,哲,�,哲,哲,�,�,ablation,�,0.6211,0.0,0.0008
店で翼と七海が買い物をしていた。七海は素敵なスナックを購入し、,223,1,3,4,5,7,12,14,24,七,翼,七,七,翼,翼,ablation,翼,0.4395,0.4395,0.0043
家の隅で涼太と美優が二人きりだった。美優は衝撃的なネックレスを知り、こっそりと,557,1,4,6,7,9,15,17,34,美,涼,美,美,涼,涼,circuit,涼,0.1445,0.1445,0.0322
レストランで楓と七海が乾杯しようとしていた。七海は冷えたコンピューターを開け、,1028,1,3,5,6,8,15,17,27,七,�,七,七,�,�,ablation,その,0.0212,0.0,0.0083
駅で七海と愛が練習していた。愛はキスをキャッチすると、力強く,345,1,4,6,7,8,13,14,24,愛,七,愛,愛,七,七,ablation,キ,0.0645,0.006,0.0269
和也と陽菜は庭にいた。陽菜は落ちていた飲み物を拾い、,86,1,1,3,4,6,11,13,22,陽,和,陽,陽,和,和,eval,和,0.3281,0.3281,0.0023
学校で和也と葵が練習していた。葵は骨をキャッチすると、力強く,314,1,3,5,6,7,12,13,22,葵,和,葵,葵,和,和,ablation,投,0.0801,0.0004,0.0
和也と達也は学校で休憩していた。達也は携帯の画面にあるバスケットボールを表示し、,819,1,1,3,4,6,13,15,29,達,和,達,達,和,和,circuit,和,0.3281,0.3281,0.0028
家で陸と七海が本棚を見ていた。七海は面白そうなコンピューターを選び、,628,1,3,4,5,7,13,15,25,七,陸,七,七,陸,陸,ablation,陸,0.248,0.248,0.0052
翼と拓也はオフィスにいた。拓也は落ちていたスナックを拾い、,119,1,1,2,3,5,12,14,24,拓,翼,拓,拓,翼,翼,ablation,翼,0.4375,0.4375,0.0001
さくらと愛は病院にいた。愛は落ちていた飲み物を拾い、,110,1,1,4,5,6,12,13,22,愛,さ,愛,愛,さ,さ,ablation,さ,0.7227,0.7227,0.0024
遥と大輔は家で修理をしていた。大輔は近くにあった飲み物を掴み、,702,1,1,2,3,5,12,14,24,大,遥,大,大,遥,遥,ablation,遥,0.0698,0.0698,0.0227
愛と翔太は家の図書館にいた。翔太は借りていたバスケットボールを読み終え、,987,1,1,2,3,5,14,16,27,翔,愛,翔,翔,愛,愛,eval,愛,0.4922,0.4922,0.0066
学校で亮と大輔が買い物をしていた。大輔は素敵な指輪を購入し、,240,1,3,4,5,7,12,14,23,大,亮,大,大,亮,亮,ablation,亮,0.3086,0.3086,0.0223
庭で愛と翔太が準備をしていた。翔太は余分なコンピューターを持っていたので、,732,1,3,4,5,7,12,14,26,翔,愛,翔,翔,愛,愛,eval,庭,0.0801,0.0334,0.0315
オフィスで拓也と結衣が帰り支度をしていた。結衣は車の飲み物を見つけ、,910,1,5,7,8,10,17,19,26,結,拓,結,結,拓,拓,ablation,拓,0.1079,0.1079,0.0045
オフィスで里奈と剛が帰り支度をしていた。剛は車の骨を見つけ、,906,1,5,7,8,9,16,17,23,剛,里,剛,剛,里,里,ablation,里,0.0952,0.0952,0.0002
庭で亮と陽菜が仕事をしていた。陽菜は新しい飲み物を作成し、その内容を,446,1,3,4,5,7,11,13,24,陽,亮,陽,陽,亮,亮,ablation,亮,0.2139,0.2139,0.0089
オフィスで翼と美優が本棚を見ていた。美優は面白そうな指輪を選び、,616,1,5,6,7,9,15,17,25,美,翼,美,美,翼,翼,ablation,翼,0.3457,0.3457,0.0209
家で葵と健太が仕事をしていた。健太は新しいバスケットボールを作成し、その内容を,483,1,3,4,5,7,11,13,25,健,葵,健,健,葵,葵,circuit,葵,0.1553,0.1553,0.006
店で七海と愛が歩いていたとき、愛は珍しいキスを見つけ、すぐに,145,1,3,5,6,7,12,13,21,愛,七,愛,愛,七,七,ablation,店,0.1455,0.083,0.0112
杏奈と陸が山で席に着いた。陸は熱い骨を持ってきて、,426,1,1,3,4,5,13,14,21,陸,杏,陸,陸,杏,杏,ablation,杏,0.4512,0.4512,0.0015
レストランで亮と美咲が練習していた。美咲はコンピューターをキャッチすると、力強く,308,1,3,4,5,8,13,16,28,美,亮,美,美,亮,亮,ablation,、,0.0571,0.0006,0.0003
家で楓と健太が歩いていたとき、健太は珍しいキスを見つけ、すぐに,193,1,3,5,6,8,13,15,23,健,�,健,健,�,�,circuit,健,0.2129,0.0,0.2129
店で涼太と和也が乾杯しようとしていた。和也は冷えた指輪を開け、,1008,1,3,5,6,8,15,17,25,和,涼,和,和,涼,涼,ablation,店,0.104,0.0337,0.0023
さくらと亮は病院で休憩していた。亮は携帯の画面にあるキスを表示し、,825,1,1,4,5,6,14,15,28,亮,さ,亮,亮,さ,さ,ablation,さ,0.7891,0.7891,0.0018
店で和也と愛が本棚を見ていた。愛は面白そうなネックレスを選び、,581,1,3,5,6,7,13,14,23,愛,和,愛,愛,和,和,ablation,和,0.3301,0.3301,0.0053
レストランで陸と大輔が乾杯しようとしていた。大輔は冷えたネックレスを開け、,1029,1,3,4,5,7,14,16,25,大,陸,大,大,陸,陸,ablation,陸,0.033,0.033,0.0042
駅で優花と一輝が歩いていたとき、一輝は珍しい骨を見つけ、すぐに,202,1,4,6,7,9,14,16,23,一,優,一,一,優,優,ablation,優,0.3066,0.3066,0.0126
レストランで七海と健太が本棚を見ていた。健太は面白そうな骨を選び、,594,1,3,5,6,8,14,16,23,健,七,健,健,七,七,ablation,七,0.4863,0.4863,0.001
哲也と愛は家で休憩していた。愛は携帯の画面にあるキスを表示し、,841,1,1,3,4,5,12,13,26,愛,哲,愛,愛,哲,哲,ablation,哲,0.6797,0.6797,0.004
レストランで彩と拓也が準備をしていた。拓也は余分なスナックを持っていたので、,743,1,3,4,5,7,12,14,25,拓,彩,拓,拓,彩,彩,ablation,彩,0.2051,0.2051,0.0045
達也と大輔はオフィスの図書館にいた。大輔は借りていた指輪を読み終え、,976,1,1,3,4,6,18,20,30,大,達,大,大,達,達,ablation,達,0.2676,0.2676,0.016
店で結衣と大輔が帰り支度をしていた。大輔は車のコンピューターを見つけ、,868,1,3,5,6,8,15,17,26,大,結,大,大,結,結,ablation,店,0.1396,0.0549,0.0483
庭の隅で結衣と大輔が二人きりだった。大輔は衝撃的なバスケットボールを知り、こっそりと,515,1,5,7,8,10,16,18,35,大,結,大,大,結,結,ablation,結,0.167,0.167,0.1011
店で蓮と涼太が帰り支度をしていた。涼太は車の骨を見つけ、,866,1,3,4,5,7,14,16,22,涼,蓮,涼,涼,蓮,蓮,circuit,店,0.124,0.1094,0.0058
達也と拓也は庭で修理をしていた。拓也は近くにあったバスケットボールを掴み、,659,1,1,3,4,6,13,15,26,拓,達,拓,拓,達,達,ablation,達,0.3066,0.3066,0.0008
学校で葵と大輔が乾杯しようとしていた。大輔は冷えたバスケットボールを開け、,1035,1,3,4,5,7,14,16,25,大,葵,大,大,葵,葵,ablation,葵,0.2402,0.2402,0.0039
直樹と哲也はオフィスの図書館にいた。哲也は借りていた骨を読み終え、,978,1,1,3,4,6,18,20,29,哲,直,哲,哲,直,直,eval,直,0.2754,0.2754,0.0035
駅で愛と結衣が乾杯しようとしていた。結衣は冷えた飲み物を開け、,1070,1,4,5,6,8,15,17,25,結,愛,結,結,愛,愛,eval,愛,0.2256,0.2256,0.0047
陸と優菜は山の図書館にいた。優菜は借りていたネックレスを読み終え、,1005,1,1,2,3,5,15,17,28,優,陸,優,優,陸,陸,ablation,陸,0.2158,0.2158,0.0054
店の隅で陽菜と大輔が二人きりだった。大輔は衝撃的なキスを知り、こっそりと,505,1,5,7,8,10,16,18,34,大,陽,大,大,陽,陽,ablation,店,0.0977,0.0408,0.0204
陸と健太はレストランにいた。健太は落ちていたスナックを拾い、,95,1,1,2,3,5,10,12,22,健,陸,健,健,陸,陸,ablation,陸,0.498,0.498,0.0012
駅で結衣と健太が帰り支度をしていた。健太は車のキスを見つけ、,921,1,4,6,7,9,16,18,25,健,結,健,健,結,結,circuit,結,0.3203,0.3203,0.0067
美月と翼が家で席に着いた。翼は熱い骨を持ってきて、,410,1,1,3,4,5,13,14,21,翼,美,翼,翼,美,美,ablation,美,0.5352,0.5352,0.0008
店で翼と七海が仕事をしていた。七海は新しいスナックを作成し、その内容を,439,1,3,4,5,7,11,13,25,七,翼,七,七,翼,翼,ablation,店,0.377,0.0654,0.0013
レストランで一輝と美優が練習していた。美優はキスをキャッチすると、力強く,305,1,3,5,6,8,13,15,25,美,一,美,美,一,一,circuit,キ,0.0474,0.0144,0.0238
家の隅で里奈と美優が二人きりだった。美優は衝撃的なコンピューターを知り、こっそりと,556,1,4,6,7,9,15,17,35,美,里,美,美,里,里,ablation,里,0.124,0.124,0.0315
店の隅で優花と翼が二人きりだった。翼は衝撃的なキスを知り、こっそりと,505,1,5,7,8,9,15,16,32,翼,優,翼,翼,優,優,ablation,優,0.3809,0.3809,0.0123
美優と結衣は家にいた。結衣は落ちていたネックレスを拾い、,125,1,1,3,4,6,11,13,23,結,美,結,結,美,美,eval,美,0.4668,0.4668,0.0091
山で美優と拓也が歩いていたとき、拓也は珍しいコンピューターを見つけ、すぐに,212,1,3,5,6,8,13,15,25,拓,美,拓,拓,美,美,ablation,山,0.4023,0.167,0.0016
店で彩と陽菜が本棚を見ていた。陽菜は面白そうなネックレスを選び、,581,1,3,4,5,7,13,15,24,陽,彩,陽,陽,彩,彩,ablation,彩,0.4707,0.4707,0.0046
病院で彩と優花が歩いていたとき、優花は珍しい指輪を見つけ、すぐに,176,1,4,5,6,8,13,15,23,優,彩,優,優,彩,彩,ablation,彩,0.6016,0.6016,0.0133
山で葵と大輔が買い物をしていた。大輔は素敵な指輪を購入し、,280,1,3,4,5,7,12,14,23,大,葵,大,大,葵,葵,ablation,葵,0.4258,0.4258,0.0187
オフィスの隅で愛と健太が二人きりだった。健太は衝撃的なバスケットボールを知り、こっそりと,547,1,7,8,9,11,17,19,36,健,愛,健,健,愛,愛,ablation,愛,0.3262,0.3262,0.0209
葵と哲也は庭で修理をしていた。哲也は近くにあったバスケットボールを掴み、,659,1,1,2,3,5,12,14,25,哲,葵,哲,哲,葵,葵,ablation,葵,0.1455,0.1455,0.0008
駅で直樹と翼が本棚を見ていた。翼は面白そうなコンピューターを選び、,636,1,4,6,7,8,14,15,25,翼,直,翼,翼,直,直,eval,直,0.5,0.5,0.0005
美月と亮はオフィスで休憩していた。亮は携帯の画面にあるコンピューターを表示し、,836,1,1,3,4,5,14,15,30,亮,美,亮,亮,美,美,ablation,美,0.373,0.373,0.0014
結衣と大輔は駅にいた。大輔は落ちていたバスケットボールを拾い、,131,1,1,3,4,6,12,14,24,大,結,大,大,結,結,ablation,結,0.8398,0.8398,0.0056
病院で七海と達也が帰り支度をしていた。達也は車のスナックを見つけ、,903,1,4,6,7,9,16,18,26,達,七,達,達,七,七,ablation,七,0.1943,0.1943,0.004
哲也と陽菜はレストランの図書館にいた。陽菜は借りていた指輪を読み終え、,952,1,1,3,4,6,16,18,28,陽,哲,陽,陽,哲,哲,circuit,哲,0.3242,0.3242,0.0009
オフィスで愛と陽菜が話していた。陽菜はバスケットボールを取り出すと、,43,1,5,6,7,9,13,15,23,陽,愛,陽,陽,愛,愛,ablation,オ,0.1553,0.0327,0.0113
健太と翔太がオフィスで席に着いた。翔太は熱い飲み物を持ってきて、,406,1,1,3,4,6,16,18,26,翔,健,翔,翔,健,健,ablation,健,0.8828,0.8828,0.0004
里奈と七海は山の図書館にいた。七海は借りていたコンピューターを読み終え、,1004,1,1,3,4,6,16,18,30,七,里,七,七,里,里,ablation,里,0.0977,0.0977,0.0091
病院で翼と達也が話していた。達也はキスを取り出すと、,33,1,4,5,6,8,12,14,21,達,翼,達,達,翼,翼,ablation,翼,0.1387,0.1387,0.0031
レストランで翼と達也が本棚を見ていた。達也は面白そうなネックレスを選び、,597,1,3,4,5,7,13,15,24,達,翼,達,達,翼,翼,ablation,翼,0.248,0.248,0.004
愛と拓也が店で席に着いた。拓也は熱いコンピューターを持ってきて、,364,1,1,2,3,5,13,15,25,拓,愛,拓,拓,愛,愛,ablation,愛,0.3438,0.3438,0.0043
オフィスで千尋と里奈が準備をしていた。里奈は余分なバスケットボールを持っていたので、,763,1,5,7,8,10,15,17,28,里,千,里,里,千,千,ablation,千,0.5938,0.5938,0.0026
レストランで愛と大輔が帰り支度をしていた。大輔は車のバスケットボールを見つけ、,883,1,3,4,5,7,14,16,24,大,愛,大,大,愛,愛,circuit,愛,0.1094,0.1094,0.0664
駅で未来と美咲が本棚を見ていた。美咲は面白そうなコンピューターを選び、,636,1,4,5,6,9,15,18,28,美,未来,美,美,未来,未来,ablation,未来,0.1943,0.1943,0.0435
店で翼と結衣が歩いていたとき、結衣は珍しいバスケットボールを見つけ、すぐに,147,1,3,4,5,7,12,14,23,結,翼,結,結,翼,翼,ablation,店,0.0815,0.0767,0.0437
健太と大輔が家で席に着いた。大輔は熱いスナックを持ってきて、,415,1,1,3,4,6,14,16,25,大,健,大,大,健,健,eval,健,0.5742,0.5742,0.0056
剛と七海は病院で修理をしていた。七海は近くにあったコンピューターを掴み、,684,1,1,2,3,5,13,15,27,七,剛,七,七,剛,剛,ablation,剛,0.1387,0.1387,0.0114
家で愛と拓也が歩いていたとき、拓也は珍しいコンピューターを見つけ、すぐに,196,1,3,4,5,7,12,14,24,拓,愛,拓,拓,愛,愛,ablation,家,0.1699,0.0378,0.009
美月と翼は庭で休憩していた。翼は携帯の画面にあるキスを表示し、,801,1,1,3,4,5,12,13,26,翼,美,翼,翼,美,美,ablation,美,0.625,0.625,0.0009
山で亮と拓也が帰り支度をしていた。拓也は車のキスを見つけ、,929,1,3,4,5,7,14,16,23,拓,亮,拓,拓,亮,亮,ablation,山,0.1807,0.1494,0.0002
庭で愛と結衣が乾杯しようとしていた。結衣は冷えた骨を開け、,1018,1,3,4,5,7,14,16,23,結,愛,結,結,愛,愛,ablation,愛,0.0933,0.0933,0.0041
学校で翼と七海が乾杯しようとしていた。七海は冷えた骨を開け、,1034,1,3,4,5,7,14,16,23,七,翼,七,七,翼,翼,ablation,翼,0.1846,0.1846,0.0028
健太と陽菜は学校で休憩していた。陽菜は携帯の画面にあるバスケットボールを表示し、,819,1,1,3,4,6,13,15,29,陽,健,陽,陽,健,健,eval,健,0.7773,0.7773,0.0036
拓也と大輔が駅で席に着いた。大輔は熱いキスを持ってきて、,417,1,1,3,4,6,15,17,25,大,拓,大,大,拓,拓,ablation,拓,0.6992,0.6992,0.0022
美優と愛は家の図書館にいた。愛は借りていたスナックを読み終え、,991,1,1,3,4,5,14,15,26,愛,美,愛,愛,美,美,ablation,美,0.6016,0.6016,0.0022
庭で翼と健太が乾杯しようとしていた。健太は冷えたネックレスを開け、,1021,1,3,4,5,7,14,16,25,健,翼,健,健,翼,翼,ablation,�,0.0352,0.0146,0.0033
学校の隅で哲也と健太が二人きりだった。健太は衝撃的なバスケットボールを知り、こっそりと,531,1,5,7,8,10,16,18,35,健,哲,健,健,哲,哲,ablation,哲,0.2871,0.2871,0.0072
駅で直樹と美優が仕事をしていた。美優は新しいコンピューターを作成し、その内容を,492,1,4,6,7,9,13,15,28,美,直,美,美,直,直,ablation,直,0.3008,0.3008,0.0071
病院で健太と陽菜が話していた。陽菜は飲み物を取り出すと、,38,1,4,6,7,9,13,15,22,陽,健,陽,陽,健,健,ablation,健,0.1533,0.1533,0.0067
家で葵と陽菜が本棚を見ていた。陽菜は面白そうなバスケットボールを選び、,627,1,3,4,5,7,13,15,24,陽,葵,陽,陽,葵,葵,circuit,葵,0.7344,0.7344,0.003
家で美優と翔太が本棚を見ていた。翔太は面白そうな飲み物を選び、,630,1,3,5,6,8,14,16,24,翔,美,翔,翔,美,美,ablation,美,0.2637,0.2637,0.0103
レストランで彩と美月が本棚を見ていた。美月は面白そうなネックレスを選び、,597,1,3,4,5,7,13,15,24,美,彩,美,美,彩,彩,ablation,彩,0.5938,0.5938,0.0192
家の隅で達也と美優が二人きりだった。美優は衝撃的なバスケットボールを知り、こっそりと,555,1,4,6,7,9,15,17,34,美,達,美,美,達,達,circuit,達,0.4551,0.4551,0.0146
庭で彩と陽菜が話していた。陽菜はネックレスを取り出すと、,13,1,3,4,5,7,11,13,21,陽,彩,陽,陽,彩,彩,ablation,彩,0.1289,0.1289,0.006
達也と結衣は庭の図書館にいた。結衣は借りていた指輪を読み終え、,944,1,1,3,4,6,16,18,28,結,達,結,結,達,達,ablation,達,0.2852,0.2852,0.0076
学校で智也と翼が本棚を見ていた。翼は面白そうなネックレスを選び、,605,1,3,5,6,7,13,14,23,翼,智,翼,翼,智,智,ablation,智,0.4043,0.4043,0.0045
山で健太と大輔が話していた。大輔はスナックを取り出すと、,71,1,3,5,6,8,12,14,22,大,健,大,大,健,健,ablation,山,0.1797,0.0903,0.0148
店の隅で愛と陽菜が二人きりだった。陽菜は衝撃的な指輪を知り、こっそりと,504,1,5,6,7,9,15,17,33,陽,愛,陽,陽,愛,愛,ablation,店,0.249,0.0557,0.0103
山の隅で亮と翔太が二人きりだった。翔太は衝撃的なコンピューターを知り、こっそりと,572,1,5,6,7,9,15,17,35,翔,亮,翔,翔,亮,亮,ablation,亮,0.3203,0.3203,0.0049
優菜と大輔は学校にいた。大輔は落ちていたネックレスを拾い、,101,1,1,3,4,6,11,13,23,大,優,大,大,優,優,ablation,優,0.6445,0.6445,0.0076
七海と亮はレストランで休憩していた。亮は携帯の画面にあるバスケットボールを表示し、,811,1,1,3,4,5,12,13,27,亮,七,亮,亮,七,七,ablation,七,0.4609,0.4609,0.0002
店の隅で拓也と結衣が二人きりだった。結衣は衝撃的なキスを知り、こっそりと,505,1,5,7,8,10,16,18,34,結,拓,結,結,拓,拓,ablation,拓,0.1289,0.1289,0.003
翼と美優は庭の図書館にいた。美優は借りていた飲み物を読み終え、,950,1,1,2,3,5,15,17,27,美,翼,美,美,翼,翼,circuit,翼,0.3125,0.3125,0.0078
レストランで剛と拓也が準備をしていた。拓也は余分な骨を持っていたので、,738,1,3,4,5,7,12,14,23,拓,剛,拓,拓,剛,剛,ablation,その,0.0239,0.0165,0.0032
庭で愛と健太が買い物をしていた。健太は素敵な飲み物を購入し、,230,1,3,4,5,7,12,14,23,健,愛,健,健,愛,愛,ablation,庭,0.4727,0.1055,0.0023
健太と陽菜がオフィスで席に着いた。陽菜は熱いネックレスを持ってきて、,405,1,1,3,4,6,16,18,27,陽,健,陽,陽,健,健,circuit,健,0.5938,0.5938,0.0013
レストランで拓也と翔太が乾杯しようとしていた。翔太は冷えた骨を開け、,1026,1,3,5,6,8,15,17,24,翔,拓,翔,翔,拓,拓,ablation,拓,0.064,0.064,0.0008
レストランで美月と翼が本棚を見ていた。翼は面白そうなネックレスを選び、,597,1,3,5,6,7,13,14,23,翼,美,翼,翼,美,美,ablation,美,0.4512,0.4512,0.0003
駅で大輔と翔太が本棚を見ていた。翔太は面白そうなスナックを選び、,639,1,4,6,7,9,15,17,26,翔,大,翔,翔,大,大,eval,大,0.4453,0.4453,0.0053
学校でさくらと亮が仕事をしていた。亮は新しい飲み物を作成し、その内容を,462,1,3,6,7,8,12,13,24,亮,さ,亮,亮,さ,さ,ablation,さ,0.2559,0.2559,0.0032
店で彩と葵が準備をしていた。葵は余分なバスケットボールを持っていたので、,723,1,3,4,5,6,11,12,23,葵,彩,葵,葵,彩,彩,circuit,彩,0.4844,0.4844,0.005
涼太と健太は病院で休憩していた。健太は携帯の画面にあるバスケットボールを表示し、,827,1,1,3,4,6,14,16,30,健,涼,健,健,涼,涼,ablation,涼,0.9023,0.9023,0.0001
病院で和也と哲也が仕事をしていた。哲也は新しい骨を作成し、その内容を,466,1,4,6,7,9,13,15,25,哲,和,哲,哲,和,和,ablation,和,0.3594,0.3594,0.0004
山で陽菜と大輔が練習していた。大輔はキスをキャッチすると、力強く,353,1,3,5,6,8,13,15,25,大,陽,大,大,陽,陽,ablation,抱,0.0449,0.0045,0.0137
山で健太と翔太が話していた。翔太は骨を取り出すと、,66,1,3,5,6,8,12,14,20,翔,健,翔,翔,健,健,circuit,山,0.1895,0.1016,0.0107
陸と優花は山で休憩していた。優花は携帯の画面にあるキスを表示し、,857,1,1,2,3,5,12,14,27,優,陸,優,優,陸,陸,ablation,陸,0.4043,0.4043,0.0259
さくらと亮は山の図書館にいた。亮は借りていたバスケットボールを読み終え、,1003,1,1,4,5,6,16,17,28,亮,さ,亮,亮,さ,さ,ablation,さ,0.5664,0.5664,0.0007
家で楓と七海が本棚を見ていた。七海は面白そうなスナックを選び、,631,1,3,5,6,8,14,16,25,七,�,七,七,�,�,ablation,家,0.1396,0.0,0.0178
家で亮と結衣が準備をしていた。結衣は余分なキスを持っていたので、,769,1,3,4,5,7,12,14,24,結,亮,結,結,亮,亮,ablation,亮,0.2832,0.2832,0.0674
山で葵と大輔が買い物をしていた。大輔は素敵な骨を購入し、,282,1,3,4,5,7,12,14,22,大,葵,大,大,葵,葵,ablation,葵,0.4902,0.4902,0.0148
